ctrlCol,lotNumber,itemCode,itemName,deliveryLeadtimeId,itemOption1,itemOption2,itemOption3,itemOption4,itemOption5,itemOption6,itemOption7,itemOption8,itemOption9,itemOption10,itemOption11,itemOption12,itemOption13,itemOption14,itemOption15,itemOption16,itemOption17,itemOption18,itemOption19,itemOption20
U,345427058,cc-168,メッセージクッキーがんばれ！　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427051,cc-169,メッセージクッキーがんばってね！　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427060,cc-17,メッセージクッキー（Sorry…）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427059,cc-170,メッセージクッキー応援してるよ！　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427061,cc-171,メッセージクッキー頑張れ！　応援・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427063,cc-172,メッセージクッキーthank you プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427062,cc-173,メッセージクッキーthank you2 プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427065,cc-174,メッセージクッキー感謝 プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427064,cc-175,メッセージクッキーありがとう お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427069,cc-176,メッセージクッキーお世話になりました2　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427066,cc-177,メッセージクッキーお世話になりました3　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427067,cc-178,メッセージクッキー産休をいただきます　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427072,cc-179,メッセージクッキーこれからもよろしくお願いします　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427073,cc-180,メッセージクッキーお世話になりました4　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427070,cc-181,メッセージクッキーAlways Love You　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427071,cc-182,メッセージクッキーI LOVE YOU　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427074,cc-183,メッセージクッキーI LOVE YOU2　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427078,cc-184,メッセージクッキーI LOVE YOU3　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427076,cc-185,メッセージクッキーI LOVE YOU4　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427079,cc-186,メッセージクッキーI LOVE YOU5　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427077,cc-187,メッセージクッキーだいすきだよ　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427083,cc-188,メッセージクッキーだいすきだよ2　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427080,cc-189,メッセージクッキー君だけがすき　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427084,cc-192,メッセージクッキー MerryChristmas(トナカイ) お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427085,cc-194,メッセージクッキー Trick or treat(黒猫) お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427092,cc-198,メッセージクッキーお疲れ様でした　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427089,cc-199,メッセージクッキーThankyou for everything　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427091,cc-200,メッセージクッキーThankyou so much for everything　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427093,cc-201,メッセージクッキーありがとうございました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427098,cc-202,メッセージクッキーありがとうございました2 お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427097,cc-203,メッセージクッキーお世話になりました5　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427100,cc-204,メッセージクッキーお世話になりました6　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427094,cc-205,メッセージクッキーお世話になりました7　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427102,cc-206,メッセージクッキーお世話になりました7　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427095,cc-207,メッセージクッキー今までありがとうございました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427101,cc-208,メッセージクッキー長い間お疲れ様でした　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427103,cc-211,メッセージクッキー（いつまでもお元気で）感謝・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427106,cc-212,メッセージクッキー（いつまでも元気でいてね）感謝・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427099,cc-213,メッセージクッキー（いつまでも元気でいてね2）感謝・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427105,cc-214,メッセージクッキー（いつもありがとう）感謝・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427464,cc-215,メッセージクッキー（おじいちゃんいつもありがとう）感謝・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427442,cc-216,メッセージクッキー（おじいちゃんおばあちゃん大好き）感謝・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427443,cc-217,メッセージクッキー（おばあちゃんいつもありがとう）感謝・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427469,cc-218,メッセージクッキー（これからもずっと元気で）感謝・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427467,cc-221,メッセージクッキー（Sorry）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427472,cc-222,メッセージクッキー（ごめん）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427471,cc-223,メッセージクッキー（ごめんなさい）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427476,cc-224,メッセージクッキー（ごめんなさい2）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427473,cc-225,メッセージクッキー（ごめんねごめんね）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427480,cc-226,メッセージクッキー（ごめんね）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427477,cc-227,メッセージクッキー（申し訳ございません）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427479,cc-228,メッセージクッキー（申し訳ございません2）お詫び・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427749,cc-24,プリントクッキー（本命）お礼・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427758,cc-247,メッセージクッキー Happy Christmas! お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427761,cc-25,プリントクッキー（義理）お礼・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427764,cc-252,メッセージクッキー Lovely Christmas お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427767,cc-255,メッセージクッキー Happy Christmas2 お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427768,cc-257,メッセージクッキー Happy Christmas お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427770,cc-26,プリントクッキー（見返リ求ム）お礼・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427790,cc-28,プリントクッキー（Happy Whiteday）お礼・プチギフト・ショークッキー,,,,,,,,,,,,,,,,,,,,,
U,345427795,cc-283,プリントクッキー（3.14 WHITEDAY-1）ホワイトデーお返し 子供　小学生　w_バラマキ,,,,,,,,,,,,,,,,,,,,,
U,345427797,cc-284,プリントクッキー（3.14 WHITEDAY-2）ホワイトデーお返し 子供　小学生　w_バラマキ,,,,,,,,,,,,,,,,,,,,,
U,345427796,cc-285,プリントクッキー（3.14 WHITEDAY-3）ホワイトデーお返し 子供　小学生　w_バラマキ,,,,,,,,,,,,,,,,,,,,,
U,345427800,cc-287,プリントクッキー（HAPPY WHITEDAY-1）ホワイトデーお返し 子供　小学生　w_バラマキ,,,,,,,,,,,,,,,,,,,,,
U,345427799,cc-288,プリントクッキー（HAPPY WHITEDAY-2）ホワイトデーお返し 子供　小学生　w_バラマキ,,,,,,,,,,,,,,,,,,,,,
U,345427801,cc-289,プリントクッキー（HAPPY WHITEDAY-3）ホワイトデーお返し 子供　小学生　w_バラマキ,,,,,,,,,,,,,,,,,,,,,
U,345427803,cc-290,プリントクッキー（HAPPY WHITEDAY-4）ホワイトデーお返し 子供　小学生　w_バラマキ,,,,,,,,,,,,,,,,,,,,,
U,345427802,cc-291,プリントクッキー（WHITEDAY）ホワイトデーお返し 子供　小学生　w_バラマキ　,,,,,,,,,,,,,,,,,,,,,
U,345427804,cc-292,メッセージクッキーWedding_thankyou(Girl&Boy),,,,,,,,,,,,,,,,,,,,,
U,345427806,cc-293,メッセージクッキーHappy Wedding(Girl&Boy),,,,,,,,,,,,,,,,,,,,,
U,345427805,cc-294,メッセージクッキーWedding Thankyou和装(Girl&Boy),,,,,,,,,,,,,,,,,,,,,
U,345427807,cc-295,メッセージクッキーHappy Wedding和装(Girl&Boy),,,,,,,,,,,,,,,,,,,,,
U,345427808,cc-296,メッセージクッキーHappy Wedding_寿,,,,,,,,,,,,,,,,,,,,,
U,345427810,cc-297,メッセージクッキーHappy Wedding_祝,,,,,,,,,,,,,,,,,,,,,
U,345427809,cc-298,メッセージクッキーHappy Wedding_ウサギとクマ2,,,,,,,,,,,,,,,,,,,,,
U,345427812,cc-299,メッセージクッキーHappy Wedding_ウサギとクマ3,,,,,,,,,,,,,,,,,,,,,
U,345427811,cc-300,メッセージクッキーHappy Wedding_ウサギとクマ和装,,,,,,,,,,,,,,,,,,,,,
U,345427813,cc-301,メッセージクッキーThankyou_ウェディングケーキ,,,,,,,,,,,,,,,,,,,,,
U,345427815,cc-302,HAPPY BABY-5おめでとうを伝えるメッセージクッキー,,,,,,,,,,,,,,,,,,,,,
U,345427816,cc-303,HAPPY BABY-6おめでとうを伝えるメッセージクッキー,,,,,,,,,,,,,,,,,,,,,
U,345427814,cc-304,メッセージクッキーHappy Birthday(Girl),,,,,,,,,,,,,,,,,,,,,
U,345427819,cc-305,メッセージクッキーHappy Birthday (boy),,,,,,,,,,,,,,,,,,,,,
U,345427820,cc-306,HAPPY BABY-7おめでとうを伝えるメッセージクッキー,,,,,,,,,,,,,,,,,,,,,
U,345427822,cc-307,HAPPY BABY-8おめでとうを伝えるメッセージクッキー,,,,,,,,,,,,,,,,,,,,,
U,345427817,cc-308,メッセージクッキーHappy Birthday (くま),,,,,,,,,,,,,,,,,,,,,
U,345427823,cc-311,メッセージクッキー大変お世話になりました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427828,cc-312,メッセージクッキーHappy Birthday (くま文字),,,,,,,,,,,,,,,,,,,,,
U,345427826,cc-314,メッセージクッキーBest friend プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427830,cc-315,メッセージクッキーI LOVE YOU6　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427831,cc-316,メッセージクッキーthank you3 プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427829,cc-317,メッセージクッキーI LOVE YOU7　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427833,cc-318,メッセージクッキーI LOVE YOU8　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427832,cc-319,メッセージクッキー LOVE お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427835,cc-369,メッセージクッキー HAPPY BIRTHDAY TO YOU (ハート-花),,,,,,,,,,,,,,,,,,,,,
U,345427837,cc-370,メッセージクッキー HAPPY BIRTHDAY TO YOU (ハート-女の子),,,,,,,,,,,,,,,,,,,,,
U,345427840,cc-371,メッセージクッキー HAPPY BIRTHDAY TO YOU (ハート-女の子),,,,,,,,,,,,,,,,,,,,,
U,345427839,cc-372,メッセージクッキーHAPPY WEDDING（ハート_くま）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427834,cc-373,メッセージスイーツHAPPY WEDDING（ハート_教会）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427911,cc-374,メッセージスイーツHAPPY WEDDING（ハート_くまとうさぎ）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427910,cc-375,メッセージスイーツHAPPY WEDDING（ハート_男の子と女の子）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427909,cc-376,メッセージスイーツHAPPY WEDDING（ハート_くまとうさぎ2）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427917,cc-377,メッセージスイーツHAPPY WEDDING（ハート_寿）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427918,cc-378,メッセージスイーツ ありがとうございます（ハート_お礼）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427919,cc-379,メッセージクッキー HAPPY BIRTHDAY TO YOU (ハート-ねこ),,,,,,,,,,,,,,,,,,,,,
U,345427925,cc-380,メッセージクッキー HAPPY BIRTHDAY TO YOU (ハート-くま),,,,,,,,,,,,,,,,,,,,,
U,345427930,cc-381,メッセージクッキー HAPPY BIRTHDAY TO YOU (ハート-ハッピーバースデー),,,,,,,,,,,,,,,,,,,,,
U,345427926,cc-382,メッセージクッキー（HAPPYBABY_ハート01）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427932,cc-383,メッセージクッキー（HAPPYBABY_ハート02）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427933,cc-384,メッセージクッキー（Hello Sweet Baby01_ハート）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427939,cc-385,メッセージクッキー（Hello Sweet Baby02_ハート）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427938,cc-386,メッセージクッキー（Its a Boy！01ハート）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427937,cc-387,メッセージクッキー（Its a Boy！02ハート）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427945,cc-388,メッセージクッキー（Its a Girl！01ハート）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427943,cc-389,メッセージクッキー（Its a Girl！02ハート）お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427730,cc-390,メッセージクッキーCongrats！02　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427729,cc-391,メッセージクッキーおめでとうございます5　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427731,cc-392,メッセージクッキーおめでとうございます6　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427733,cc-393,メッセージクッキーおめでとうございます7　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427732,cc-394,メッセージクッキーおめでとうございます8　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427735,cc-395,メッセージクッキーありがとうございましたお礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427736,cc-396,メッセージクッキー祝3　お祝い・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428445,cc-406,メッセージクッキー出産準備のためお休みをいただきます　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428444,cc-407,メッセージクッキー出産準備のためお休みをいただきます　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345427743,cc-408,メッセージクッキー出産準備のためお休みをいただきます　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428479,cc-409,メッセージクッキー出産準備のためお休みをいただきます　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428480,cc-410,メッセージクッキー出産準備のためお休みをいただきます　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428478,cc-411,メッセージクッキー出産準備のためお休みをいただきます　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428482,cc-412,メッセージクッキーお世話になりました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428481,cc-413,メッセージクッキーお世話になりました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428483,cc-414,メッセージクッキーお世話になりました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428484,cc-415,メッセージクッキーお世話になりました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428488,cc-416,メッセージクッキーお世話になりました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428490,cc-417,メッセージクッキーお世話になりました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428486,cc-418,メッセージクッキーThank You　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428485,cc-419,メッセージクッキーありがとうございました!!　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428493,cc-42,【敬老の日】おじいちゃん、おばあちゃんに感謝の気持ちを伝えるメッセージスイーツ《敬老,,,,,,,,,,,,,,,,,,,,,
U,345428487,cc-420,メッセージクッキーありがとうございました!!　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428489,cc-421,メッセージクッキーお世話になりました thank you　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428494,cc-422,メッセージクッキーThank you for everything　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428492,cc-423,メッセージクッキーThank you so much　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428491,cc-424,メッセージクッキーありがとうございました　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
U,345428446,cc-430,メッセージクッキーThanks a lot!!　お礼・プチギフト,,,,,,,,,,,,,,,,,,,,,
