ctrlCol,lotNumber,itemCode,itemName,deliveryLeadtimeId,itemOption1,itemOption2,itemOption3
u,345430743,cc-set26,ありがとう お菓子 メッセージクッキーお得な15枚セット(箱入り)お礼 プチギフト　個別包装,NULL,NULL,NULL,
u,345430744,cc-set27,ありがとう プチギフト メッセージクッキーお得な30枚セット(箱入り)お礼・プチギフト　個別包装,NULL,NULL,NULL,
u,345430749,cc-set29,誕生日 お菓子 メッセージクッキーお得な15枚セット(箱入り)お礼 プチギフト 個包装,NULL,NULL,NULL,
u,345430751,cc-set30,誕生日 お菓子 メッセージクッキーお得な30枚セット(箱入り)お礼 プチギフト 個包装,NULL,NULL,NULL,
u,345430762,cc-set41,転勤 退職 お菓子 あいさつ シンプルなメッセージクッキー15枚セット(箱入り)お礼・ギフト　個別包装,NULL,NULL,NULL,
u,345430766,cc-set42,転勤 退職 お菓子 お礼 シンプルなプリントクッキー30枚セット(箱入り)あいさつ ギフト お世話　個別包装,NULL,NULL,NULL,
u,345430768,cc-set44, ハロウィン　お菓子 メッセージクッキーお得な3種類15枚セット(箱入り)　個別包装,NULL,NULL,NULL,
u,345430772,cc-set44-45, ハロウィン　お菓子 メッセージクッキーお得な3種類45枚セット(箱入り)　個別包装,NULL,NULL,NULL,
u,345430681,cc-set44-75, ハロウィン　お菓子 メッセージクッキーお得な3種類75枚セット(箱入り) 個別包装,NULL,NULL,NULL,
u,345431190,cc-set45, ハロウィン　お菓子 プリントクッキーお得な6種類30枚セット(箱入り)　個別包装,NULL,NULL,NULL,
u,345431189,cc-set46, ハロウィン　お菓子 メッセージクッキーお得な5種類30枚セット(箱入り)　個別包装,NULL,NULL,NULL,
u,345430682,cc-set46-15, ハロウィン　お菓子 メッセージクッキーお得な5種類15枚セット(箱入り)　個別包装,NULL,NULL,NULL,
u,345431211,cc-set53,転勤 退職 お菓子 あいさつ ポップなメッセージクッキー15枚セット(箱入り)お礼・ギフト　個別包装,NULL,NULL,NULL,
u,345431225,cc-set54,転勤 退職 お菓子 お礼 ポップなメッセージクッキー30枚セット(箱入り)お礼 ギフト お世話にな　個別包装,NULL,NULL,NULL,
u,345431216,cc-set56,転勤 退職 お菓子 お礼 あいさつ 毛筆のメッセージクッキー15枚セット(箱入り)感謝の言葉をプ　個別包装,NULL,NULL,NULL,
u,345431226,cc-set57,転勤 退職 お菓子 お礼 毛筆のプリントクッキー30枚セット(箱入り)ご挨拶 ギフト お世話になり　個別包装,NULL,NULL,NULL,
u,345431357,cc-set59,転勤 退職 お菓子 あいさつ 元気な営業さんのメッセージクッキー15枚セット(箱入り)お礼　個別包装,NULL,NULL,NULL,
u,345431371,cc-set66,産休 お菓子 あいさつ メッセージクッキー15枚セット(箱入り)お礼 ギフト　個別包装,NULL,NULL,NULL,
u,345431367,cc-set67,産休 お菓子 あいさつ メッセージクッキー30枚セット(箱入り)お礼・ギフト　個別包装,NULL,NULL,NULL,
u,345431368,cc-set69,転勤 退職 お菓子 あいさつ パターン柄のメッセージクッキー15枚セット(箱入り)お礼・ギフト　個別包装,NULL,NULL,NULL,
u,345431370,cc-set70,転勤 退職 お菓子 お礼 パターン柄のプリントクッキー30枚セット(箱入り) ギフト お世話になり　個別包装,NULL,NULL,NULL,
u,345431377,cc-set75,入園・卒園祝いメッセージクッキー15枚セット(箱入り)お礼・ギフト　個別包装,NULL,NULL,NULL,
u,345431232,cc-set76,入園・卒園祝いメッセージクッキー30枚セット(箱入り)お礼・ギフト　個別包装,NULL,NULL,NULL,
u,345431378,cc-set78,転勤 退職 お菓子 あいさつ サラリーマン伊藤のメッセージクッキー15枚セット(箱入り)お礼　個別包装,NULL,NULL,NULL,
u,345431233,cc-set79,転勤 退職 お菓子 お礼 サラリーマン伊藤のプリントクッキー30枚セット(箱入り)ご挨拶 ギフト　個別包装,NULL,NULL,NULL,
u,345431234,cc-set81,退職 お菓子 プチギフト お礼 あいさつにカラフルなプリントクッキー15枚セット(箱入り)お礼　個別包装,NULL,NULL,NULL,
u,345431235,cc-set82,転職 退職 お菓子 お礼 カラフルなプリントクッキー30枚セット(箱入り)ご挨拶プチギフト個別包装,NULL,NULL,NULL,
u,345431388,cc-set99,産休 お菓子 あいさつに動物のメッセージクッキー15枚セット(箱入り)お礼 ギフト個別包装,NULL,NULL,NULL,
u,345431405,chocola-locabo,送料無料  人気のお取り寄せ 低糖質 スイーツ 生チョコレート 20個入り　ダイエット 糖質制限,NULL,NULL,NULL,
u,345431406,chocola-locabo-2,送料無料  低糖質 スイーツ 生チョコレート20個入 2箱セット ダイエット 糖質制限 人気のお取り寄せ ,NULL,NULL,NULL,
u,345431407,chocola-locabo-3,送料無料  低糖質 スイーツ 生チョコレート20個入 3箱セット ダイエット 糖質制限 人気のお取り寄せ 　,NULL,NULL,NULL,
u,345431391,chocola-locabo-4,送料無料  低糖質スイーツ 生チョコレート20個入 4箱セット ダイエット　糖質制限,NULL,NULL,NULL,
u,345431392,chocola-locabo-5,低糖質スイーツ 生チョコレート20個入 5箱セット 糖質ダイエット中や糖質制限中も安心の濃厚,NULL,NULL,NULL,
u,345431408,chocola-locabo-vd,【送料無料】生チョコレート20個入 12箱入り 糖質制限　低糖質スイーツ ロカボ ギフト 贈り物【大増量リニューアル】,NULL,NULL,NULL,
u,345431432,kumazu_04set,送料無料 プチギフト くまの焼き菓子セット クマーズ4 お試し ギフト  ポイント 消化　買い周り,NULL,NULL,NULL,
u,345431434,locabo-chocolte-roll, 送料無料 低糖質 生チョコロールケーキ プレゼント 誕生日 ギフト　お取り寄せ 糖質制限　,NULL,NULL,NULL,
u,345431437,locabo-chocolte-roll2,送料無料  低糖質 スイーツ 生チョコロールケーキ 2箱まとめ買い12％OFF　 クリスマス お歳暮 ギフト ショコラ ,NULL,NULL,NULL,
u,345431435,locabo-chocolte-roll3,送料無料  低糖質スイーツ 生チョコレート ロールケーキ3本セット ショコラ プレゼント 誕生日 ギフト　 クリスマス お歳暮 ギフト,NULL,NULL,NULL,
u,345431453,nrc-locabo4,送料無料 ひんやり濃厚低糖質レアチーズケーキ4号(12cm)　1～2名用　1カット糖質1.6ｇ　低糖質　ダイエット,NULL,NULL,NULL,
u,345431735,pm-set1,送料無料 ありがとう メッセージマカロン 5個セット プチギフト 　,NULL,NULL,NULL,
u,345431739,pm-set107,送料無料 転勤 退職 お菓子 どうぶつたちのお礼メッセージマカロン 5個セット(箱入り)お礼 プチギフト,NULL,NULL,NULL,
u,345431741,pm-set108,送料無料 転職 退職 お菓子 お礼 どうぶつたちのお礼メッセージマカロン 10個セット(箱入り)ご挨拶,NULL,NULL,NULL,
u,345431742,pm-set109,送料無料 転職 退職 お菓子 お礼 どうぶつたちのお礼メッセージマカロン 20個セット(箱入り)ご挨拶,NULL,NULL,NULL,
u,345431764,pm-set11,送料無料 出産祝い お菓子 メッセージマカロン プチギフト,NULL,NULL,NULL,
u,345431765,pm-set110,送料無料 ありがとう お菓子 メッセージマカロン 5個セット(箱入り)お礼 プチギフト　,NULL,NULL,NULL,
u,345431767,pm-set111,送料無料 ありがとう お菓子 メッセージマカロン 10個セット(箱入り)お礼 プチギフト　,NULL,NULL,NULL,
u,345431768,pm-set112,送料無料 ●○レトロポップ●○メッセージマカロン 20個セット(箱入り)お礼・プチギフト　,NULL,NULL,NULL,
u,345431770,pm-set113,送料無料 ありがとう お菓子 メッセージマカロン 5個セット(箱入り)お礼 プチギフト　,NULL,NULL,NULL,
u,345431772,pm-set114,送料無料 お花のラブリー♪ありがとうメッセージマカロン 10個セット(箱入り)お礼・プチギフト　,NULL,NULL,NULL,
u,345432051,pm-set12,送料無料 出産祝い お菓子 メッセージマカロン 10個セット お祝い プチギフト　,NULL,NULL,NULL,
u,345432054,pm-set13,送料無料 退職 お菓子 お世話になりましたメッセージマカロン 5個セット お礼 挨拶 プチギフト　,NULL,NULL,NULL,
u,345432079,pm-set14,送料無料 転職 退職 お菓子 お礼 メッセージマカロン 10個セット ご挨拶 プチギフト お世話になりました　,NULL,NULL,NULL,
u,345432080,pm-set15,送料無料 おいしいスイーツ・おめでとう！メッセージマカロン 5個セット(箱入り)お祝い・プチギフト　,NULL,NULL,NULL,
u,345432063,pm-set16,送料無料 おめでとう お菓子 メッセージマカロン 10個セット　お祝い プチギフト　,NULL,NULL,NULL,
u,345432086,pm-set17,送料無料 応援 お菓子 がんばれ メッセージマカロン 5個セット　お礼 プチギフト　,NULL,NULL,NULL,
u,345432081,pm-set18,送料無料 応援 がんばれ お菓子 メッセージマカロン 10個セット プチギフト　,NULL,NULL,NULL,
u,345432085,pm-set19,送料無料 大好き お菓子 すき メッセージマカロン 5個セット お礼 プチギフト　,NULL,NULL,NULL,
u,345432088,pm-set2,送料無料 ありがとう お菓子 メッセージマカロン 10個セットお礼 プチギフト,NULL,NULL,NULL,
u,345432082,pm-set20,送料無料 大好き お菓子 メッセージマカロン 10個セット　お礼 プチギフト　,NULL,NULL,NULL,
u,345432087,pm-set21,送料無料 お詫び お菓子 ごめんなさい… メッセージマカロン 5個セット 謝罪 プチギフト　,NULL,NULL,NULL,
u,345432090,pm-set22,送料無料 お詫び ごめんなさい 謝罪 お菓子 メッセージマカロン 10個セット プチギフト　,NULL,NULL,NULL,
u,345432083,pm-set23,送料無料 産休 お菓子 挨拶 メッセージマカロン 5個セット 感謝とお礼 プチギフト,NULL,NULL,NULL,
u,345432089,pm-set24,送料無料 産休 お菓子 メッセージマカロン 10個セット お礼 挨拶 プチギフト　,NULL,NULL,NULL,
u,345432092,pm-set25,送料無料 産休 お菓子 あいさつにメッセージマカロン 20個セット お礼 プチギフト　,NULL,NULL,NULL,
u,345432091,pm-set27,送料無料  おいしいスイーツ・ハロウィンのメッセージマカロン 5個セット　お祝い・プチギフト　,NULL,NULL,NULL,
u,345432093,pm-set28,送料無料 おいしいスイーツ・ハロウィンのメッセージマカロン 10個セット　お祝い・プチギフト　,NULL,NULL,NULL,
u,345432096,pm-set29,送料無料 ハロウィンパーティーに！メッセージマカロン 5個セット(箱入り)お祝い・プチギフト,NULL,NULL,NULL,
u,345432095,pm-set3,送料無料 誕生日 お菓子 HappyBirthDay!!メッセージマカロン 5個セット お祝い プチギフト　,NULL,NULL,NULL,
u,345432094,pm-set30,送料無料 ハロウィンパーティーに！プリントマカロン 10個セット(箱入り)お祝い・プチギフト,NULL,NULL,NULL,
u,345432099,pm-set31,送料無料 七五三のお祝いに！メッセージマカロン 5個セット(箱入り)お礼 プチギフト　,NULL,NULL,NULL,
u,345432097,pm-set32,送料無料 七五三のお祝いに！メッセージマカロン 10個セット(箱入り)お礼 プチギフト　,NULL,NULL,NULL,
